Customer_ID,Age,Tenure_Months,Monthly_Amount,Contract_Type,Payment_Method,Technical_Support,Internet_Service,Complaints,Satisfaction,Churn
388,62,35,72.42,Monthly,Electronic Check,No,DSL,2,6,Yes
389,65,55,61.2,Annual,Credit Card,Yes,DSL,1,8,No
390,26,16,101.16,Annual,Credit Card,No,DSL,2,7,No
391,57,33,78.55,Annual,Bank Transfer,Yes,None,1,7,No
392,27,11,68.08,Two-Year,Credit Card,Yes,DSL,3,4,No
393,37,26,93.49,Monthly,Credit Card,Yes,DSL,1,8,Yes
394,49,31,35.0,Monthly,Bank Transfer,Yes,DSL,1,9,No
395,56,40,35.75,Monthly,Credit Card,Yes,DSL,1,7,No
396,64,29,86.33,Monthly,Bank Transfer,Yes,Fiber,0,9,No
397,20,5,73.09,Monthly,Electronic Check,Yes,DSL,0,8,No
398,28,9,76.51,Monthly,Credit Card,Yes,DSL,0,7,No
399,32,23,48.12,Monthly,Electronic Check,Yes,None,2,8,No
400,34,30,71.58,Annual,Electronic Check,Yes,Fiber,1,8,No
401,70,32,108.06,Monthly,Electronic Check,No,DSL,1,7,No
402,59,27,86.84,Monthly,Bank Transfer,No,DSL,1,8,No
403,34,20,75.05,Annual,Bank Transfer,Yes,None,1,6,No
404,69,34,64.1,Annual,Bank Transfer,No,None,2,5,No
405,44,31,64.9,Annual,Bank Transfer,Yes,DSL,0,8,No
406,44,2,35.0,Annual,Credit Card,Yes,DSL,3,6,Yes
407,40,13,76.64,Annual,Electronic Check,No,Fiber,1,7,No
408,25,5,87.22,Monthly,Bank Transfer,No,None,1,6,Yes
409,67,14,43.64,Monthly,Electronic Check,No,Fiber,2,5,No
410,18,1,60.09,Annual,Credit Card,Yes,DSL,1,8,No
411,27,5,51.17,Monthly,Credit Card,No,DSL,2,6,Yes
412,30,13,54.62,Monthly,Bank Transfer,Yes,Fiber,0,9,No
413,32,26,72.96,Monthly,Bank Transfer,Yes,Fiber,2,7,No
414,24,9,35.0,Monthly,Bank Transfer,Yes,Fiber,1,8,No
415,18,1,83.06,Monthly,Credit Card,No,DSL,2,6,Yes
416,53,27,85.57,Monthly,Credit Card,Yes,DSL,0,8,No
417,69,45,67.48,Two-Year,Bank Transfer,No,Fiber,2,5,No
418,24,3,35.0,Two-Year,Credit Card,No,DSL,2,6,No
419,33,8,54.06,Monthly,Electronic Check,No,Fiber,3,5,Yes
420,44,27,94.19,Two-Year,Credit Card,No,DSL,1,9,No
421,67,33,35.0,Monthly,Credit Card,No,Fiber,1,8,Yes
422,54,34,65.74,Two-Year,Credit Card,Yes,Fiber,1,8,No
423,58,30,50.76,Two-Year,Bank Transfer,Yes,Fiber,3,7,No
424,48,31,86.48,Monthly,Bank Transfer,Yes,DSL,1,7,No
425,40,11,59.85,Annual,Bank Transfer,Yes,DSL,4,4,No
426,28,13,79.27,Two-Year,Electronic Check,Yes,DSL,1,7,No
427,63,31,82.18,Two-Year,Credit Card,Yes,DSL,0,8,No
428,60,20,105.05,Two-Year,Bank Transfer,Yes,Fiber,1,8,No
429,19,1,68.35,Annual,Credit Card,Yes,Fiber,3,7,No
430,55,35,78.77,Monthly,Credit Card,Yes,Fiber,3,7,No
431,22,7,45.27,Two-Year,Bank Transfer,No,None,0,6,No
432,57,20,93.43,Annual,Credit Card,Yes,Fiber,1,7,No
433,61,31,58.31,Annual,Bank Transfer,No,None,1,8,No
434,24,21,61.91,Monthly,Bank Transfer,No,Fiber,0,8,No
435,40,1,71.6,Annual,Electronic Check,Yes,Fiber,2,6,No
436,24,1,43.87,Monthly,Bank Transfer,No,Fiber,3,5,Yes
437,48,16,76.12,Annual,Bank Transfer,No,Fiber,1,6,No
438,67,48,89.41,Monthly,Credit Card,No,DSL,2,6,No
439,22,13,77.27,Annual,Credit Card,Yes,DSL,0,9,No
440,39,26,43.4,Two-Year,Credit Card,Yes,Fiber,1,10,No
441,69,26,69.77,Monthly,Bank Transfer,Yes,DSL,4,6,No
442,33,6,85.36,Annual,Electronic Check,No,DSL,3,6,Yes
443,25,16,38.2,Monthly,Credit Card,No,None,1,4,Yes
444,43,22,52.65,Two-Year,Bank Transfer,No,None,1,6,No
445,44,27,87.78,Annual,Electronic Check,No,DSL,0,9,No
446,53,26,76.86,Monthly,Electronic Check,No,DSL,1,7,Yes
447,34,19,79.42,Monthly,Bank Transfer,No,DSL,2,1,No
448,68,37,105.47,Monthly,Bank Transfer,Yes,DSL,0,9,No
449,45,30,80.43,Monthly,Bank Transfer,No,DSL,1,9,No
450,33,24,83.84,Two-Year,Electronic Check,Yes,Fiber,0,6,No
451,68,21,120.79,Annual,Credit Card,Yes,DSL,0,10,No
452,67,15,68.15,Monthly,Electronic Check,Yes,None,1,4,No
453,44,31,57.64,Two-Year,Credit Card,No,Fiber,0,8,No
454,19,19,79.7,Monthly,Electronic Check,Yes,DSL,2,7,Yes
455,49,16,79.9,Two-Year,Credit Card,Yes,None,2,4,No
456,47,7,62.52,Monthly,Credit Card,Yes,Fiber,1,8,No
457,25,13,53.42,Annual,Credit Card,Yes,DSL,0,10,No
458,51,35,113.58,Two-Year,Bank Transfer,Yes,None,3,7,No
459,62,48,77.88,Monthly,Credit Card,No,None,1,7,No
460,23,15,58.82,Annual,Credit Card,No,Fiber,1,6,No
461,56,26,88.49,Two-Year,Bank Transfer,Yes,Fiber,1,5,No
462,25,4,70.04,Monthly,Credit Card,Yes,DSL,1,8,No
463,57,30,67.45,Monthly,Electronic Check,Yes,Fiber,0,10,No
464,40,17,82.12,Annual,Electronic Check,Yes,Fiber,2,8,No
465,18,1,48.75,Monthly,Bank Transfer,Yes,Fiber,1,5,No
466,69,54,78.35,Monthly,Credit Card,No,Fiber,0,5,No
467,26,28,106.43,Monthly,Credit Card,No,DSL,1,5,Yes
468,49,35,80.39,Annual,Electronic Check,Yes,DSL,1,5,No
469,27,5,65.23,Monthly,Credit Card,Yes,DSL,2,7,Yes
470,67,43,62.87,Monthly,Credit Card,Yes,DSL,0,9,No
471,57,35,64.61,Two-Year,Electronic Check,Yes,Fiber,2,5,No
472,60,35,67.43,Annual,Electronic Check,No,Fiber,2,7,Yes
473,40,31,65.2,Two-Year,Credit Card,No,Fiber,1,7,Yes
474,42,27,88.49,Monthly,Bank Transfer,No,Fiber,1,6,No
475,51,33,40.8,Two-Year,Bank Transfer,No,Fiber,1,6,No
476,59,36,87.52,Annual,Electronic Check,No,Fiber,2,3,Yes
477,62,35,65.17,Monthly,Credit Card,No,Fiber,5,3,Yes
478,18,1,78.79,Two-Year,Credit Card,Yes,Fiber,1,8,No
479,53,28,51.71,Monthly,Bank Transfer,Yes,DSL,1,8,No
480,23,6,95.92,Monthly,Credit Card,Yes,DSL,0,9,No
481,33,5,94.42,Monthly,Bank Transfer,Yes,None,1,8,No
482,61,47,89.27,Annual,Credit Card,Yes,DSL,2,7,No
483,31,31,44.73,Monthly,Electronic Check,Yes,DSL,1,8,Yes
484,60,43,86.92,Monthly,Electronic Check,No,Fiber,2,7,Yes
485,42,23,79.29,Monthly,Bank Transfer,No,DSL,0,7,Yes
486,30,27,43.11,Monthly,Electronic Check,Yes,Fiber,1,8,No
487,35,17,71.56,Monthly,Credit Card,Yes,Fiber,0,8,No
488,46,25,78.56,Annual,Bank Transfer,No,Fiber,1,6,No
489,58,20,82.01,Monthly,Credit Card,Yes,Fiber,1,8,No
490,50,29,75.19,Monthly,Electronic Check,Yes,Fiber,1,7,Yes
491,67,35,77.24,Annual,Electronic Check,Yes,DSL,1,8,No
492,63,21,98.53,Monthly,Electronic Check,Yes,DSL,0,8,No
493,57,29,94.07,Annual,Electronic Check,Yes,DSL,1,7,Yes
494,49,24,35.0,Monthly,Electronic Check,No,DSL,2,5,No
495,33,32,66.29,Monthly,Credit Card,No,DSL,0,6,No
496,39,28,69.04,Monthly,Electronic Check,No,Fiber,0,5,No
497,24,11,40.46,Monthly,Bank Transfer,Yes,DSL,0,9,No
498,37,21,73.7,Monthly,Bank Transfer,No,DSL,1,7,Yes
499,67,35,94.48,Annual,Bank Transfer,No,Fiber,3,6,No
500,40,18,52.44,Monthly,Credit Card,Yes,Fiber,1,7,Yes
501,24,2,78.06,Annual,Credit Card,No,None,1,9,No
502,52,25,55.52,Annual,Credit Card,Yes,DSL,1,7,No
503,69,29,59.91,Monthly,Credit Card,Yes,DSL,1,6,No
504,63,21,98.59,Annual,Bank Transfer,Yes,DSL,1,6,No
505,32,20,62.23,Monthly,Electronic Check,Yes,Fiber,2,5,No
506,42,25,80.32,Monthly,Bank Transfer,Yes,DSL,1,10,No
507,46,7,38.32,Monthly,Bank Transfer,Yes,Fiber,0,10,Yes
508,31,14,105.52,Annual,Bank Transfer,Yes,Fiber,3,7,Yes
509,32,25,82.85,Two-Year,Bank Transfer,No,DSL,2,5,Yes
510,30,24,68.72,Monthly,Credit Card,Yes,Fiber,2,9,No
511,70,46,82.36,Annual,Electronic Check,Yes,DSL,3,6,No
512,57,30,46.62,Annual,Credit Card,Yes,Fiber,3,6,Yes
513,62,25,93.29,Monthly,Bank Transfer,No,DSL,0,9,No
514,61,22,66.17,Annual,Electronic Check,Yes,DSL,2,8,No
515,68,39,68.33,Annual,Bank Transfer,No,DSL,0,10,No
516,23,14,63.15,Two-Year,Electronic Check,Yes,DSL,1,8,No
517,64,45,61.55,Two-Year,Credit Card,Yes,None,1,7,No
518,21,20,84.5,Monthly,Electronic Check,Yes,DSL,3,5,Yes
519,43,21,76.61,Monthly,Electronic Check,Yes,DSL,3,4,Yes
520,49,14,83.73,Annual,Electronic Check,No,DSL,2,5,Yes
521,36,15,71.84,Monthly,Bank Transfer,No,Fiber,1,8,No
522,25,14,81.24,Monthly,Electronic Check,Yes,Fiber,1,8,No
523,28,12,64.46,Two-Year,Electronic Check,No,Fiber,1,6,No
524,61,26,112.14,Monthly,Bank Transfer,Yes,Fiber,3,5,No
525,34,19,43.78,Monthly,Electronic Check,Yes,Fiber,0,8,No
526,34,12,94.7,Two-Year,Electronic Check,Yes,Fiber,2,8,No
527,66,29,96.62,Monthly,Bank Transfer,Yes,DSL,0,9,No
528,25,15,56.66,Monthly,Electronic Check,No,Fiber,0,7,Yes
529,66,31,112.13,Two-Year,Credit Card,Yes,DSL,0,7,No
530,66,37,89.92,Monthly,Bank Transfer,Yes,Fiber,3,7,No
531,49,28,89.48,Monthly,Credit Card,Yes,DSL,3,2,No
532,26,2,72.5,Monthly,Credit Card,Yes,Fiber,2,7,No
533,26,8,68.09,Two-Year,Electronic Check,Yes,DSL,1,10,No
534,33,29,68.23,Monthly,Credit Card,No,Fiber,1,4,Yes
535,48,14,79.03,Annual,Credit Card,Yes,DSL,0,8,No
536,26,1,97.22,Monthly,Credit Card,Yes,Fiber,0,8,No
537,42,4,75.26,Monthly,Bank Transfer,Yes,None,1,7,No
538,24,12,55.59,Two-Year,Electronic Check,Yes,Fiber,1,9,No
539,46,24,86.84,Annual,Electronic Check,Yes,DSL,2,8,No
540,19,7,88.58,Two-Year,Credit Card,No,Fiber,2,6,No
541,55,39,83.78,Monthly,Bank Transfer,No,DSL,2,7,No
542,20,1,85.42,Annual,Bank Transfer,Yes,DSL,1,8,No
543,28,17,67.12,Two-Year,Bank Transfer,No,Fiber,2,10,No
544,27,27,55.28,Monthly,Bank Transfer,Yes,Fiber,0,8,No
545,62,22,56.37,Monthly,Credit Card,No,Fiber,0,7,No
546,20,6,42.56,Two-Year,Bank Transfer,No,Fiber,0,5,No
547,40,13,76.27,Monthly,Bank Transfer,No,None,0,6,No
548,49,17,70.5,Annual,Bank Transfer,No,Fiber,2,7,No
549,45,20,64.08,Two-Year,Bank Transfer,Yes,Fiber,1,6,No
550,54,41,35.0,Monthly,Electronic Check,Yes,None,1,5,No
551,60,48,49.55,Monthly,Electronic Check,Yes,Fiber,1,8,No
552,38,16,92.18,Monthly,Credit Card,Yes,Fiber,3,8,No
553,61,49,60.04,Monthly,Electronic Check,No,DSL,1,7,No
554,34,17,78.49,Monthly,Electronic Check,Yes,None,4,5,Yes
555,70,52,46.97,Annual,Credit Card,Yes,DSL,2,4,No
556,44,21,97.9,Monthly,Bank Transfer,Yes,DSL,0,9,No
557,57,31,69.41,Annual,Credit Card,Yes,None,0,9,No
558,64,37,77.22,Monthly,Electronic Check,No,Fiber,1,4,Yes
559,60,60,113.86,Monthly,Credit Card,No,None,0,9,No
560,63,40,99.3,Monthly,Bank Transfer,Yes,DSL,0,9,No
561,46,17,66.48,Annual,Credit Card,Yes,None,1,9,No
562,20,18,61.32,Monthly,Bank Transfer,Yes,Fiber,0,9,No
563,44,19,66.14,Monthly,Electronic Check,Yes,Fiber,1,8,No
564,27,9,81.18,Two-Year,Credit Card,No,DSL,3,6,No
565,65,42,70.11,Annual,Electronic Check,Yes,DSL,1,9,No
566,30,15,64.89,Monthly,Electronic Check,Yes,DSL,1,5,No
567,30,17,98.41,Two-Year,Electronic Check,Yes,None,0,6,No
568,31,15,69.94,Monthly,Credit Card,No,DSL,1,5,No
569,52,30,113.39,Monthly,Electronic Check,No,Fiber,0,7,Yes
570,48,28,73.63,Monthly,Credit Card,Yes,Fiber,1,8,No
571,68,18,104.14,Monthly,Credit Card,Yes,Fiber,0,9,Yes
572,40,26,78.43,Monthly,Electronic Check,Yes,Fiber,0,10,No
573,32,7,89.33,Annual,Bank Transfer,No,Fiber,0,9,No
574,20,1,58.96,Monthly,Bank Transfer,Yes,DSL,0,7,No
575,18,7,56.63,Annual,Credit Card,Yes,DSL,3,7,No
576,37,19,80.27,Two-Year,Electronic Check,No,DSL,2,5,Yes
577,67,29,89.79,Annual,Bank Transfer,No,Fiber,0,7,No
578,45,30,72.72,Annual,Bank Transfer,Yes,DSL,2,7,Yes
579,65,22,48.84,Annual,Electronic Check,Yes,DSL,1,3,No
580,23,7,47.52,Two-Year,Credit Card,Yes,DSL,1,10,No
581,22,5,46.31,Monthly,Credit Card,Yes,DSL,2,8,No
582,62,32,40.18,Monthly,Bank Transfer,Yes,DSL,0,7,No
583,23,13,73.97,Annual,Electronic Check,No,DSL,2,8,No
584,20,1,92.25,Annual,Credit Card,No,DSL,1,6,No
585,39,26,71.76,Monthly,Credit Card,Yes,DSL,3,6,No
586,67,36,35.0,Annual,Credit Card,No,Fiber,1,6,No
587,54,11,68.57,Monthly,Electronic Check,Yes,Fiber,2,9,No
588,23,1,69.07,Two-Year,Credit Card,Yes,Fiber,2,7,Yes
589,62,32,109.73,Monthly,Bank Transfer,No,DSL,3,5,No
590,62,30,45.77,Monthly,Electronic Check,Yes,DSL,4,7,Yes
591,60,30,64.97,Monthly,Credit Card,Yes,DSL,3,7,No
592,65,34,102.71,Monthly,Bank Transfer,Yes,Fiber,2,7,No
593,30,17,80.1,Monthly,Bank Transfer,Yes,Fiber,2,8,No
594,69,45,82.14,Monthly,Electronic Check,Yes,DSL,0,10,No
595,34,7,74.06,Monthly,Credit Card,No,Fiber,2,6,Yes
596,60,21,77.94,Monthly,Credit Card,No,None,1,7,No
597,48,15,86.0,Monthly,Credit Card,No,Fiber,3,5,Yes
598,59,33,57.43,Monthly,Electronic Check,No,DSL,2,8,No
599,51,37,87.81,Monthly,Electronic Check,Yes,DSL,1,7,No
600,52,23,47.29,Monthly,Credit Card,No,DSL,3,5,No
